y,w,ids
-0.10772938049677057,1.0,C(CCl)OCCCl
1.014445745102845,1.0,C(Cl)(Cl)(Cl)Cl
0.1995018603866509,1.0,CC(C)CC(=O)C
0.44945270042740054,1.0,CCCCO[N+](=O)[O-]
0.5744281204477755,1.0,CSC
-0.07388187090791887,1.0,c1ccc(cc1)C#N
-1.680336749086487,1.0,Cc1c[nH]cn1
0.15523973246276807,1.0,CCN(CC)CC
1.4596706789254303,1.0,C(F)(F)(F)Br
0.6291048667066894,1.0,c1ccsc1
-0.33424732928369977,1.0,COS(=O)(=O)OC
1.4544633697579146,1.0,C(C(F)(Cl)Cl)(F)(F)Cl
0.6525377579605096,1.0,C(Cl)Cl
0.5015257921025568,1.0,C(CCl)CCl
0.6134829392041425,1.0,c1ccc2c(c1)CCC2
0.2619895703968383,1.0,CCCCCC=O
-0.30039981969484825,1.0,CC(OC(=O)C)OC(=O)C
-0.14418054466937974,1.0,CCOP(=S)(OCC)SCSCC
0.6785743037980878,1.0,Cc1cccc(c1C)C
-1.383520126538097,1.0,CN(C)C(=O)Nc1ccccc1
0.09535567703633856,1.0,Cc1cccc(c1)[N+](=O)[O-]
-1.667318476167698,1.0,CCNc1nc(nc(n1)Cl)NCC
0.9285251438388373,1.0,CC(C)Cl
-1.6100380753250263,1.0,CC(=O)NC
0.7592875958945798,1.0,c1ccccc1
-1.3054104890253626,1.0,c1cc(ccc1C=O)O
-1.53453209239605,1.0,CC(=O)N
-2.2974028854370876,1.0,Cn1cnc2c1c(=O)n(c(=O)n2C)C
-4.349082697438241,1.0,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O
0.4182088454223068,1.0,CC(C)(C)OC
0.8894703250824703,1.0,CCCCc1ccccc1
0.9649763080114467,1.0,[C@@H](C(F)(F)F)(Cl)Br
-0.8549782460352615,1.0,c1cc(cnc1)C=O
-1.4824590007208933,1.0,COC(=O)c1ccc(cc1)O
0.18387993288410404,1.0,CC(=O)C(C)(C)C
-0.12855861716683276,1.0,C(C(F)(F)F)O
-0.21187556384708275,1.0,Cc1ccccn1
-0.2665523101059968,1.0,COCCOC
1.6471338089559926,1.0,CCC(C)(C)C
0.306251698320721,1.0,CCCCC(=O)CCCC
0.027660657858635546,1.0,CC[N+](=O)[O-]
-0.016601470065247106,1.0,CCCCCCCCCO
1.014445745102845,1.0,CCCCCCI
1.4700852972604617,1.0,CC(C)C=C
0.43122711834109584,1.0,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl
0.2281420608079868,1.0,CCOC(=O)C
1.4049939326665162,1.0,C[C@@H]1CCCC[C@@H]1C
-0.1598024721719265,1.0,CCC(C)(C)O
-0.7482284081011915,1.0,CC(=O)O
-1.4668370732183467,1.0,CNC(=O)Oc1cccc2c1cccc2
-0.7300028260148865,1.0,COCCO
-1.0320267577307924,1.0,COc1cc(c(c(c1O)OC)Cl)C=O
-1.5944161478224792,1.0,CC(=O)Oc1ccccc1C(=O)O
-0.23530845510090304,1.0,Cc1ccc(nc1)C
-1.2767702886040269,1.0,CCCCOC(=O)c1ccc(cc1)O
-0.6987589710097931,1.0,C1=CC(=O)C=CC1=O
-0.15719881758816884,1.0,COC(OC)OC
-0.537332386816809,1.0,Cc1c[nH]c2c1cccc2
-0.2561376917709655,1.0,C(CO[N+](=O)[O-])CO[N+](=O)[O-]
1.1888906022146182,1.0,C1CC1
-0.5737835509894181,1.0,c1cnccc1C#N
-0.43578985805025444,1.0,Cc1cccc(c1)O
-3.41176704728543,1.0,c1c(c(=O)[nH]c(=O)[nH]1)F
-0.4462044763852856,1.0,Cc1ccccc1N
1.13942116512322,1.0,C1CC=CC1
1.5481949347731958,1.0,CCCC1CCCC1
0.6134829392041425,1.0,CCSCC
-1.5475503653148388,1.0,Cc1ccc(cc1)C(=O)N(C)C
-0.32383271094866856,1.0,C1COCCO1
0.7749095233971267,1.0,CC(Cl)Cl
-2.091714173320221,1.0,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N
1.425823169336579,1.0,CCCCCC=C
-0.43578985805025444,1.0,c1ccc(cc1)N
0.11618491370640095,1.0,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl
-0.878411137289082,1.0,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]
0.4338307729248537,1.0,CCCCCCCCCC(=O)C
0.2489712974780493,1.0,CC(C)C=O
1.5924570626970784,1.0,CC(C)C
-0.13897323550186402,1.0,CCC(CC)O
0.3583247899958772,1.0,CCCOC(=O)CC
0.9337324530063529,1.0,CCCCCc1ccccc1
-0.19885729092829374,1.0,c1ccc(c(c1)[N+](=O)[O-])O
0.05369720369621367,1.0,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl
-0.07127821632416109,1.0,CCCCCCCCO
0.5614098475289864,1.0,CCCCCCO[N+](=O)[O-]
-1.5084955465584715,1.0,c1ccc2c(c1)C(=O)NC2=O
-0.5711798964056604,1.0,Cc1ccc(c(c1)C)O
-0.49827756806044193,1.0,CCCCOC[C@H](C)O
0.3739467174984242,1.0,c1ccc(cc1)CBr
-0.2274974913496297,1.0,c1ccncc1
-1.5084955465584715,1.0,CC1(Cc2cccc(c2O1)OC(=O)NC)C
0.29323342540193204,1.0,c1ccc(cc1)c2ccccc2Cl
-0.6232529880808165,1.0,CCCCCC(=O)O
-1.5397394015635655,1.0,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br
1.6132862993671409,1.0,CCC(C)C
-0.15719881758816884,1.0,CC[C@@H](C)CO
0.09535567703633856,1.0,CN(C)c1ccccc1
-0.6024237514107541,1.0,CCc1ccc(cc1)O
-1.1179473589948004,1.0,c1ccc2cc(ccc2c1)O
-0.4540154401365589,1.0,C1CNC1
-1.5735869111524166,1.0,COc1c(ccc(c1C(=O)O)Cl)Cl
0.006831421188573052,1.0,CCCCCCCN
-1.3080141436091204,1.0,CC(=O)OCC(COC(=O)C)OC(=O)C
0.28281880706690077,1.0,CSc1ccccc1
-0.9903682843906676,1.0,CC(=O)c1ccncc1
1.6471338089559926,1.0,CCCC(C)C
-0.14938785383689526,1.0,c1ccnc(c1)Cl
-0.20666825467956723,1.0,CC(=O)C1CC1
-0.07908918007543458,1.0,c1ccc(cc1)[N+](=O)[O-]
0.7905314508996736,1.0,c1c(cc(cc1Cl)Cl)Cl
-1.2481300881826907,1.0,C1CC[S+2](C1)([O-])[O-]
1.35292084099136,1.0,CCC=C
-1.0033865573094567,1.0,c1ccc2c(c1)cccc2O
-0.4409971672177699,1.0,Cc1cnccn1
-0.18063170884198904,1.0,CC1=CC(=O)[C@@H](CC1)C(C)C
-0.016601470065247106,1.0,CN1CCCCC1
0.20210551497040868,1.0,CCCCCC(=O)C
0.004227766604815291,1.0,CC(=O)C
-0.6284602972483323,1.0,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
-0.6102347151620275,1.0,Cc1cccc(c1C)O
1.3372989134888134,1.0,CC=C
-0.02180877923276273,1.0,CC(=O)C1CCCCC1
-1.5189101648935028,1.0,c1cc(cc(c1)O)C#N
0.045886239944940184,1.0,CCCCN(CC)C(=O)SCCC
-0.6102347151620275,1.0,CCCCC(=O)O
-0.6935516618422776,1.0,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C
0.2567822612293227,1.0,CCCC(=O)OC
-0.6831370435072462,1.0,COc1c(cc(c(c1O)OC)Cl)Cl
-1.4538188002995576,1.0,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O
-1.0320267577307924,1.0,CCC(=O)Nc1ccc(c(c1)Cl)Cl
-0.07127821632416109,1.0,CC(=C)[C@H]1CCC(=CC1)C=O
0.306251698320721,1.0,CC(C)OC(=O)C
-0.672722425172215,1.0,COC(CC#N)(OC)OC
-1.5683796019849012,1.0,CC(C)(/C=N\OC(=O)NC)SC
-1.4017457086244014,1.0,CCOC(=O)c1ccc(cc1)O
